"doi","title"
"10.1093/oxfordhb/9780198869252.013.39","The Cultural Transmission and Evolution of Folk Narratives"
"10.1017/ehs.2025.10009","African harps as units of cultural evolution: a cladistic analysis on their morphology"
"10.1093/oxfordhb/9780198869252.013.40","Craft Traditions"
"10.1017/ehs.2025.10010","Exploring factors for melodic diversification of folk songs in the Ryukyu Archipelago"
"10.1017/ehs.2025.10016","Opening strategies in the game of go from feudalism to
superhuman AI"
"10.1017/ehs.2025.10011","Quantifying and explaining the rise of fiction"
"10.1093/oxfordhb/9780198869252.013.45","Evolution of Modern Literature and Film"
"10.1017/ehs.2025.10015","The cultural macroevolution of arcade video games: innovation, collaboration, and collapse"
"10.1093/oxfordhb/9780198869252.013.43","Signalling and the Cultural Evolution of Art"
"10.1093/oxfordhb/9780198869252.013.42","Cultural Evolution and Music"
